word
bad
terrible
awful
hate
angry
sad
horrible
worst
dreadful
poor
negative
disappointing
frustrating
unpleasant
miserable
tragic
gloomy
depressing
unhappy
annoying
pathetic
unfortunate
painful
upset
discouraging
disturbing
insulting
